104	wiktionary:210182:90576503	welcoming	menyambut	dando la bienvenida	accueillant	acolhedor	kukaribisha	einladend	гостеприимный	欢迎	歓迎する	ترحيب	स्वागत करते हुए	karşılama
187	wiktionary:61735:91372002	evaluation	evaluasi	evaluación	évaluation	avaliação	tathmini	Bewertung	оценка	评价	評価	التقييم	मूल्यांकन	değerlendirme
258	wiktionary:206207:83217429	disguised	menyamar	disfrazado	déguisé	disfarçado	kujificha	verkleidet	замаскированный	伪装的	変装した	مقنعة	प्रच्छन्न	gizlenmiş
275	wiktionary:70524:90083028	precision	presisi	precisión	précision	precisão	usahihi	Präzision	точность	精度	精度	الدقة	परिशुद्धता	hassas
335	wiktionary:3846:91533277	cube	kubus	cubo	cube	cubo	mchemraba	Würfel	куб	立方体	立方体	مكعب	घन	küp
563	wiktionary:39757:91376756	revelation	wahyu	revelación	révélation	revelação	ufunuo	Offenbarung	откровение	启示录	啓示	الوحي	रहस्योद्घाटन	vahiy
794	wiktionary:90191:87326894	titanic	raksasa	titánico	titanesque	titânico	titanic	Titanisch	титанический	泰坦尼克号	タイタニック号	تيتانيك	टाइटैनिक	Titanik
990	wiktionary:89903:90566743	doggy	anjing	perrito	chien	cachorrinho	mbwa	Hündchen	собачка	小狗	わんちゃん	هزلي	कुत्ता	köpek
1157	wiktionary:322270:88038593	babbling	mengoceh	balbuceo	babiller	balbuciando	kunguruma	plappern	лепет	胡言乱语	せせらぎ	الثرثرة	बड़बड़ाना	gevezelik
1166	wiktionary:384632:90935640	dora	dora	dora	dora	dora	dora	Dora	Дора	朵拉	ドラ	دورا	डोरा	dora
1605	wiktionary:98794:90485610	tenant	penyewa	inquilino	locataire	inquilino	mpangaji	Mieter	арендатор	租户	テナント	المستأجر	किरायेदार	kiracı
1796	wiktionary:86649:89277580	riches	kekayaan	riquezas	richesses	riquezas	utajiri	Reichtum	богатство	财富	富	ثروات	धन	zenginlik
2054	wiktionary:61586:90771414	diabetes	diabetes	diabetes	diabète	diabetes	kisukari	Diabetes	диабет	糖尿病	糖尿病	مرض السكري	मधुमेह	diyabet
2509	wiktionary:41197:91124038	alternate	bergantian	alternativo	suppléant	alternativo	mbadala	abwechseln	альтернативный	替补	代替	بديل	वैकल्पिक	alternatif
2831	wiktionary:41304:91125278	diversion	pengalihan	desvío	détournement	desvio	mchepuko	Ablenkung	отвлечение внимания	改道	流用	تحويل	ध्यान भटकाना	oyalama
2897	wiktionary:87006:90339262	effectively	secara efektif	efectivamente	efficacement	efetivamente	kwa ufanisi	effektiv	эффективно	有效地	効果的に	بشكل فعال	प्रभावी ढंग से	etkili bir şekilde
3178	wiktionary:61525:89273592	dedication	dedikasi	dedicación	dévouement	dedicação	kujitolea	Hingabe	преданность делу	奉献	献身	التفاني	समर्पण	özveri
3217	wiktionary:62881:91627195	wager	bertaruh	apuesta	parier	apostar	dau	Wette	ставка	打赌	賭ける	الرهان	दांव	bahis
3234	wiktionary:56957:91084001	smelly	bau	maloliente	puant	fedorento	yenye harufu	stinkend	вонючий	臭的	臭い	رائحة كريهة	बदबूदार	pis kokulu
3777	wiktionary:41399:90929527	trench	parit	trinchera	tranchée	trincheira	mtaro	Graben	траншея	战壕	溝	خندق	खाई	hendek
3779	wiktionary:462427:91225218	cameraman	juru kamera	camarógrafo	caméraman	cinegrafista	mpiga picha	Kameramann	оператор	摄影师	カメラマン	مصور	कैमरामैन	kameraman
3797	wiktionary:38354:91526903	batter	adonan	masa	pâte	massa	kugonga	Teig	тесто	面糊	バッター	الخليط	बल्लेबाज	meyilli
3923	wiktionary:4691:91343133	dye	pewarna	tinte	colorant	corante	rangi	Farbstoff	краситель	染料	染料	صبغ	रंगाई	boya
4318	wiktionary:338:90497295	abduction	penculikan	abducción	enlèvement	rapto	utekaji nyara	Entführung	похищение	绑架	誘拐	اختطاف	अपहरण	kaçırma
4321	wiktionary:306284:91419555	prospect	prospek	prospecto	perspective	cliente potencial	matarajio	Aussicht	перспектива	前景	見通し	احتمال	संभावना	umut
4514	wiktionary:40387:91612254	alma	alma	alma	alma	alma	alma	Alma	Альма	阿尔玛	アルマ	ألما	अल्मा	alma
4560	wiktionary:80430:89795173	manslaughter	pembunuhan berencana	homicidio	homicide involontaire	homicídio culposo	mauaji	Totschlag	непредумышленное убийство	过失杀人	過失致死	القتل غير العمد	हत्या	kasıtsız adam öldürme
4885	wiktionary:88974:91533055	remedy	obat	remedio	remède	remédio	dawa	Abhilfe	средство	补救措施	治療法	علاج	उपाय	çare
5019	wiktionary:22890:91526511	damp	lembab	húmedo	humide	úmido	unyevunyevu	feucht	влажный	潮湿	湿った	رطبة	नम	nemli
5073	wiktionary:54670:91604109	thigh	paha	muslo	cuisse	coxa	paja	Oberschenkel	бедро	大腿	太もも	الفخذ	जांघ	uyluk
5120	wiktionary:174011:91065122	cologne	cologne	colonia	eau de Cologne	colônia	cologne	Köln	одеколон	科隆	ケルン	كولونيا	कोलोन	kolonya
5335	wiktionary:2943:90969489	accusation	tuduhan	acusación	accusation	acusação	mashtaka	Vorwurf	обвинение	指控	告発	اتهام	आरोप	suçlama
5867	wiktionary:193695:91372772	outsider	orang luar	forastero	étranger	estranho	mgeni	Außenseiter	посторонний	局外人	部外者	دخيل	बाहरी व्यक्ति	yabancı
5960	wiktionary:60897:91220271	serum	serum	suero	sérum	soro	seramu	Serum	сыворотка	血清	血清	مصل	सीरम	serum
6053	wiktionary:5663:91548864	oral	lisan	orales	orale	oral	kwa mdomo	mündlich	оральный	口头的	口頭	عن طريق الفم	मौखिक	sözlü
6111	wiktionary:54022:90282679	shades	nuansa	sombras	nuances	tons	vivuli	Schattierungen	оттенки	色调	色合い	ظلال	शेड्स	Gölgeler
6164	wiktionary:61116:91611605	woe	celakalah	ay	malheur	ai	ole	wehe	горе	祸患	悲惨だ	ويل	शोक	yazık
6210	wiktionary:41118:91541467	alias	alias	alias	pseudonyme	apelido	pak	Alias	псевдоним	别名	別名	الاسم المستعار	उपनाम	takma ad
6331	wiktionary:34448:91560284	apron	celemek	delantal	tablier	avental	aproni	Schürze	фартук	围裙	エプロン	ساحة	एप्रन	önlük
6404	wiktionary:8561:91608579	vein	vena	vena	veine	veia	mshipa	Vene	вена	静脉	静脈	الوريد	नस	damar
6431	wiktionary:68273:91579641	tonic	tonik	tónico	tonique	tônico	tonic	Tonikum	тоник	补品	トニック	منشط	टॉनिक	tonik
6456	wiktionary:69136:91637518	dim	redup	tenue	faible	escurecer	dim	schwach	тусклый	昏暗	薄暗い	خافت	मंद	loş
6488	wiktionary:62674:91573580	steep	curam	empinado	raide	íngreme	mwinuko	steil	крутой	陡峭	急な	حاد	खड़ी	dik
6895	wiktionary:60937:91497985	sod	tanah	césped	gazon	merda	sod	Mist	дерн	草皮	芝生	أبله	वतन	ot
6901	wiktionary:1540887:91328536	cub	anak	cachorro	petit	filhote	mtoto	Jungtier	детеныш	幼崽	カブ	شبل	शावक	yavru
7025	wiktionary:208186:91619483	eyewitness	saksi mata	testigo ocular	témoin oculaire	testemunha ocular	aliyeshuhudia	Augenzeuge	очевидец	目击者	目撃者	شاهد عيان	प्रत्यक्षदर्शी	görgü tanığı
7048	wiktionary:195626:85505941	flattering	menyanjung	halagador	flatteur	lisonjeiro	kubembeleza	schmeichelhaft	лестный	谄媚	お世辞	الاغراء	चापलूसी	gurur verici
7341	wiktionary:91855:90673487	overdose	overdosis	sobredosis	surdose	overdose	overdose	Überdosis	передозировка	过量	過剰摂取	جرعة زائدة	जरूरत से ज्यादा	aşırı doz
7350	wiktionary:39231:90955406	automobile	mobil	automóvil	automobile	automóvel	gari	Automobil	автомобиль	汽车	自動車	السيارات	ऑटोमोबाइल	otomobil
7370	wiktionary:38382:91312298	loo	toilet	baño	toilettes	loo	loo	Klo	туалет	厕所	トイレ	مرحاض	लू	tuvalet
7403	wiktionary:606808:83255645	bullied	diintimidasi	intimidado	victime d'intimidation	intimidado	kuonewa	gemobbt	издеваются	被欺负	いじめられた	تخويف	धमकाया गया	zorbalığa maruz kalmak
7489	wiktionary:84985:90673216	kidnapper	penculik	secuestrador	kidnappeur	sequestrador	mtekaji nyara	Entführer	похититель	绑匪	誘拐犯	الخاطف	अपहरणकर्ता	adam kaçıran
7532	wiktionary:48540:91494139	dispose	membuang	disponer	disposer	descartar	tupa	entsorgen	распоряжаться	处置	処分する	التخلص	निपटान	elden çıkarmak
7632	wiktionary:76317:91603411	margarita	margarita	Margarita	margarita	margarida	margarita	Margarita	Маргарита	玛格丽塔	マルガリータ	مارغريتا	मार्गरीटा	Margarita
7685	wiktionary:34016:91212605	hash	hash	picadillo	hachage	hash	hashi	Hash	хэш	散列	ハッシュ	التجزئة	हैश	esrar
7798	wiktionary:243683:89837108	grieving	berduka	afligido	en deuil	luto	kuhuzunika	trauernd	скорбящий	悲伤的	悲しむ	حزين	शोक मनाना	kederli
7801	wiktionary:322194:87395723	initials	inisial	iniciales	initiales	iniciais	waanzilishi	Initialen	инициалы	缩写	イニシャル	الأحرف الأولى	आद्याक्षर	baş harfler
7824	wiktionary:36565:90464037	hound	anjing	sabueso	chien de chasse	cão de caça	mbwa mwitu	Hund	гончая	猎犬	猟犬	كلب الصيد	शिकारी कुत्ता	tazı
7852	wiktionary:71877:87418196	boogie	boogie	bailar	boogie	dança	boogie	Boogie	буги	布吉	ブギー	الرقصة	बूगी	boogie
7864	wiktionary:50842:90800030	perp	pelaku	delincuente	criminel	criminoso	perp	Täter	преступник	罪犯	パープ	perp	पर्प	suçlu
7903	wiktionary:59230:91450568	cloak	jubah	manto	manteau	manto	vazi	Umhang	плащ	斗篷	マント	عباءة	लबादा	pelerin
7981	wiktionary:253728:86785679	crabs	kepiting	cangrejos	crabes	caranguejos	kaa	Krabben	крабы	螃蟹	カニ	سرطان البحر	केकड़े	yengeçler
8008	wiktionary:79447:91388378	pastry	kue kering	pastelería	pâtisserie	pastelaria	maandazi	Gebäck	выпечка	糕点	ペストリー	معجنات	पेस्ट्री	pasta
8081	wiktionary:88347:91214551	successor	penerus	sucesor	successeur	sucessor	mrithi	Nachfolger	преемник	继任者	後継者	خليفة	उत्तराधिकारी	halef
8082	wiktionary:39798:91540050	hola	halo	hola	salut	olá	hola	Hola	здравствуйте	你好	こんにちは	مرحبا	होला	selam
8090	wiktionary:189896:91379361	cheerleader	pemandu sorak	animadora	pom-pom girl	líder de torcida	mshangiliaji	Cheerleader	болельщик	啦啦队长	チアリーダー	المشجع	जयजयकार	amigo kız
8114	wiktionary:227421:88519056	slips	tergelincir	resbalones	glisse	deslizamentos	kuteleza	rutscht aus	скользит	纸条	滑る	زلات	फिसल जाता है	fişler
8153	wiktionary:60589:91350325	macho	macho	machista	machiste	macho	macho	Macho	мачо	男子气概	マッチョ	مفتول العضلات	मर्दाना	maço
8215	wiktionary:248384:90583338	stunned	tertegun	aturdido	abasourdi	atordoado	kupigwa na butwaa	fassungslos	ошеломленный	惊呆了	唖然とした	مذهول	स्तब्ध	hayrete düşmüş
8262	wiktionary:75489:89631142	fuller	lebih penuh	más completo	plus complet	mais completo	kamili zaidi	voller	полнее	富勒	より充実した	أكمل	फुलर	daha dolgun
8268	wiktionary:322661:88489635	mornings	pagi hari	mañanas	les matins	manhãs	asubuhi	Morgens	утро	早晨	朝	الصباح	सुबह	sabahlar
8292	wiktionary:1250:91246582	accidental	tidak disengaja	accidental	accidentel	acidental	bahati mbaya	zufällig	случайный	偶然的	偶然の	عرضي	आकस्मिक	tesadüfi
8352	wiktionary:84333:91219509	convey	menyampaikan	transmitir	transmettre	transmitir	kufikisha	vermitteln	передать	传达	伝える	ينقل	संप्रेषित करना	iletmek
8428	wiktionary:36745:91481077	prototype	prototipe	prototipo	prototype	protótipo	mfano	Prototyp	прототип	原型	プロトタイプ	النموذج الأولي	प्रोटोटाइप	prototip
8448	wiktionary:6890:91516285	fling	melemparkan	arrojar	jeter	arremessar	ruka	Seitensprung	бросать	投掷	投げ飛ばす	قذف	उछालना	kaçmak
8450	wiktionary:177617:91248190	cupcake	kue mangkuk	magdalena	petit gâteau	bolinho	keki	Cupcake	кекс	纸杯蛋糕	カップケーキ	كب كيك	कपकेक	kek
8473	wiktionary:3688820:84092091	warsaw	warsawa	varsovia	Varsovie	Varsóvia	warsaw	Warschau	Варшава	华沙	ワルシャワ	وارسو	वारसॉ	Varşova
8507	wiktionary:64698:87326712	uptight	tegang	tenso	tendu	tenso	imara	verklemmt	напряженный	紧张的	きつい	متوتر	ऊँचा	gergin
8532	wiktionary:185613:90673737	inclined	cenderung	inclinado	incliné	inclinado	kutega	geneigt	наклоненный	倾斜的	傾いた	يميل	झुका हुआ	eğimli
8535	wiktionary:270086:84407626	stockings	stoking	medias	bas	meias	soksi	Strümpfe	чулки	丝袜	ストッキング	جوارب	मोज़ा	çorap
8576	wiktionary:104296:89637008	scrooge	orang kikir	tacaño	Scrooge	Patinhas	scrooge	Geizhals	Скрудж	守财奴	スクルージ	البخيل	बदमाश	üçkağıtçı
8617	wiktionary:44556:91039776	fingerprint	sidik jari	huella digital	empreinte digitale	impressão digital	alama za vidole	Fingerabdruck	отпечаток пальца	指纹	指紋	بصمة	फिंगरप्रिंट	parmak izi
8688	wiktionary:226662:90579228	sensational	sensasional	sensacional	sensationnel	sensacional	ya kusisimua	sensationell	сенсационный	耸人听闻的	センセーショナルな	مثيرة	सनसनीखेज	sansasyonel
8844	wiktionary:239775:91019908	jockey	joki	jockey	jockey	jóquei	joki	Jockey	жокей	骑师	騎手	الفارس	जॉकी	jokey
8852	wiktionary:38108:91447408	mourn	berduka	llorar	pleurer	lamentar	kuomboleza	trauern	скорбеть	哀悼	嘆く	نحزن	शोक मनाओ	yas tutmak
8893	wiktionary:212157:91248479	intercom	interkom	intercomunicador	interphone	intercomunicador	intercom	Gegensprechanlage	домофон	对讲机	インターホン	الاتصال الداخلي	इंटरकॉम	interkom
8920	wiktionary:231817:91330631	penthouse	penthouse	ático	penthouse	cobertura	upenu	Penthouse	пентхаус	顶层公寓	ペントハウス	بنتهاوس	सायबान	çatı katı
8949	wiktionary:508614:91405282	ginny	jin	ginebra	Ginny	Gina	dogo	Ginny	Джинни	金妮	ジニー	جيني	गिन्नी	cin
8950	wiktionary:4311:91038166	quack	dukun	curandero	charlatan	charlatão	tapeli	Quacksalber	шарлатан	庸医	インチキ	الدجال	नीमहकीम	şarlatan
9062	wiktionary:62357:91624422	peck	mematuk	picotear	picorer	bicar	peck	picken	клевать	啄	つつく	بيك	चुम्बन	gagalamak
9184	wiktionary:65705:91587338	gospel	Injil	evangelio	évangile	evangelho	injili	Evangelium	Евангелие	福音	福音	الإنجيل	सुसमाचार	müjde
9223	wiktionary:613140:89287787	presumably	mungkin	presumiblemente	vraisemblablement	presumivelmente	labda	vermutlich	предположительно	大概	おそらく	من المفترض	संभवतः	muhtemelen
9272	wiktionary:10158247:80992938	hyung	hyung	hyung	hyung	hyung	hyung	Hyung	хен	哥	ヒョン	هيونغ	ह्युंग	hyung
9285	wiktionary:61301:91124274	assumption	asumsi	suposición	hypothèse	suposição	dhana	Annahme	предположение	假设	仮定	الافتراض	धारणा	varsayım
9306	wiktionary:338785:87238090	hugging	berpelukan	abrazando	étreindre	abraçando	kukumbatiana	umarmen	обнимать	拥抱	抱きしめる	المعانقة	आलिंगन	sarılma
9311	wiktionary:61217:91638996	sideways	ke samping	de lado	de côté	lateralmente	kando	seitwärts	вбок	侧身	横向き	جانبية	बग़ल में	yanlara
9313	wiktionary:204795:81023204	jaws	rahang	mandíbulas	mâchoires	mandíbulas	taya	Kiefer	челюсти	下巴	顎	فكي	जबड़े	çeneler
9345	wiktionary:62817:91516207	troll	troll	troll	troll	trollar	troli	Troll	тролль	巨魔	トロル	القزم	ट्रोल	trol
9404	wiktionary:4870:91388405	squid	cumi-cumi	calamar	calmar	lula	ngisi	Tintenfisch	кальмар	鱿鱼	イカ	الحبار	विद्रूप	kalamar
9419	wiktionary:36755:91428910	mushroom	jamur	seta	champignon	cogumelo	uyoga	Pilz	гриб	蘑菇	キノコ	فطر	मशरूम	mantar
9488	wiktionary:6277:90932440	freeway	jalan bebas hambatan	autopista	autoroute	rodovia	barabara kuu	Autobahn	автострада	高速公路	高速道路	الطريق السريع	फ़्रीवे	otoyol
9517	wiktionary:78488:89718837	believer	orang percaya	creyente	croyant	crente	muumini	Gläubiger	верующий	信徒	信者	مؤمن	आस्तिक	mümin
9526	wiktionary:44867:91509417	tornado	angin puting beliung	tornado	tornade	tornado	kimbunga	Tornado	торнадо	龙卷风	竜巻	اعصار	बवंडर	kasırga
9567	wiktionary:67941:89275039	cowardly	pengecut	cobarde	lâche	covarde	mwoga	feige	трусливый	胆怯的	卑怯な	جبان	कायरतापूर्ण	korkakça
9587	wiktionary:70867:90661448	notch	takik	muesca	encoche	entalhe	chembe	Kerbe	выемка	缺口	ノッチ	درجة	पायदान	çentik
9631	wiktionary:255685:86916056	winters	musim dingin	inviernos	les hivers	invernos	majira ya baridi	Winter	зимы	温特斯	冬	الشتاء	सर्दियाँ	kışlar
9673	wiktionary:41276:91574581	annoy	mengganggu	molestar	ennuyer	irritar	kuudhi	ärgern	раздражать	惹恼	イライラさせる	إزعاج	परेशान	rahatsız etmek
9810	wiktionary:54711:89454424	loaf	roti	pan	pain	pão	mkate	Laib	буханка	面包	パン	رغيف	रोटी	somun
9923	wiktionary:206572:91126166	idiotic	bodoh	idiota	idiot	idiota	mjinga	idiotisch	идиотский	白痴	愚かな	غبي	मूर्खतापूर्ण	aptalca
9928	wiktionary:45183:91126307	inconvenience	ketidaknyamanan	inconveniente	inconvénient	inconveniente	usumbufu	Unannehmlichkeiten	неудобство	不便	不便	إزعاج	असुविधा	rahatsızlık
9965	wiktionary:4770:91403072	plum	prem	ciruela	prune	ameixa	plum	Pflaume	слива	李子	梅	البرقوق	बेर	erik
